,features,p,r,f,acc
0,,0.8827101310322787,0.8178856973645248,0.8490624039348293,0.963764030546871
1,,0.8693664271717831,0.7906147906147906,0.8281225696064706,0.9608391608391609
2,,0.8724093264248705,0.8029806259314456,0.8362564022970665,0.9626699629171817
3,,0.8702791461412152,0.7986738999397227,0.8329404369008329,0.9626423916828334
4,,0.8815210559396606,0.8041857798165137,0.841079460269865,0.9623257627449069
5,longer,0.9066620402498266,0.7779100922893718,0.8373658067617369,0.9585993716428499
6,longer,0.9130139313625553,0.7815590459569517,0.8421877448675755,0.9603097773475314
7,longer,0.9206571128975882,0.785799522673031,0.8478995654273298,0.9611335628398943
8,longer,0.9141555711282411,0.7653270753886771,0.833147054127415,0.9574520534437706
9,longer,0.9101796407185628,0.7745803357314148,0.8369230769230769,0.959608927513332
10,length,0.898895790200138,0.7630345635618043,0.8254119138149556,0.9566097919092704
11,length,0.9032374100719425,0.768359853121175,0.8303571428571428,0.9585374658346656
12,length,0.9043112513144059,0.7639917086171157,0.8282504012841092,0.9578962919190427
13,length,0.8959802538787024,0.7506646971935007,0.8169104645555377,0.9553814882752466
14,length,0.9014573213046495,0.7625476959201644,0.8262044840197169,0.9576677711290242
15,capital,0.8759615384615385,0.8064325759811154,0.8397603318482101,0.9634696331930247
16,capital,0.8746383799421408,0.8045535186280307,0.8381333744032035,0.9637418778830416
17,capital,0.8894101876675603,0.7981954887218045,0.8413377714376288,0.9637905236907731
18,capital,0.8618677042801557,0.7863905325443787,0.8224009900990099,0.9611570247933884
19,capital,0.8888532991672005,0.8034163288940359,0.843978102189781,0.9624702847605078
20,pos,0.8932197838191942,0.778697886921759,0.8320366132723113,0.9599786552828175
21,pos,0.8794088008061807,0.7761636525348354,0.8245669291338582,0.9593798761765742
22,pos,0.8912608405603736,0.782888953999414,0.8335673061924818,0.9606469817595485
23,pos,0.8833391547327978,0.7795930949445129,0.8282299001146225,0.9615074566706973
24,pos,0.8820097244732577,0.7634680134680135,0.8184689426981501,0.9562450670876085
25,longer-length,0.9334600760456274,0.6898005057600449,0.7933430279528195,0.9440238362721634
26,longer-length,0.9267605633802817,0.6716243802857976,0.7788298951640177,0.94261972662012
27,longer-length,0.9338775510204081,0.6795366795366795,0.7866597902698985,0.9431644408196554
28,longer-length,0.9339045287637698,0.6752212389380531,0.7837699024139702,0.9413940109918332
29,longer-length,0.9374529012810852,0.689769891876906,0.794761220252356,0.9436778234488158
30,longer-capital,0.903588143525741,0.8260125499144324,0.8630606466994487,0.9668157907674155
31,longer-capital,0.8983870967741936,0.8124270711785297,0.8532475490196079,0.9659821212853347
32,longer-capital,0.911446375860938,0.8312892611426862,0.8695244055068836,0.9678870934751483
33,longer-capital,0.906856403622251,0.8387675740352977,0.8714840714840715,0.9697551123453674
34,longer-capital,0.9104092813406381,0.8284457478005866,0.8674957776754185,0.9677839571120798
35,longer-pos,0.9069767441860465,0.8106235565819861,0.8560975609756096,0.9645937813440321
36,longer-pos,0.9017165937394817,0.8008968609865471,0.8483217226092464,0.9641483381004043
37,longer-pos,0.8956893715037841,0.7928925138362948,0.8411619283065512,0.9615652346857597
38,longer-pos,0.895478374836173,0.7860224331320104,0.837187930770409,0.9598180818631615
39,longer-pos,0.886892880904857,0.7929803688280785,0.8373115577889447,0.9617210827744872
