,hmm-p,hmm-r,hmm-f,hmm-acc,memm-p,memm-r,memm-f,memm-acc,base-p,base-r,base-f,base-acc
0,0.7142857142857143,1.0,0.8333333333333333,0.9473684210526315,0.8333333333333334,1.0,0.9090909090909091,0.9736842105263158,0.6,0.6,0.6,0.9473684210526315
1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
2,0.6363636363636364,0.7777777777777778,0.7000000000000001,0.8787878787878788,0.8,0.8888888888888888,0.8421052631578948,0.9393939393939394,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.8787878787878788
3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,0.2222222222222222,1.0,0.3636363636363636,0.7307692307692307,0.6666666666666666,1.0,0.8,0.9615384615384616,1.0,1.0,1.0,1.0
5,0.25,1.0,0.4,0.8636363636363636,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8,0.6666666666666666,1.0,0.8,0.9473684210526315,0.6666666666666666,1.0,0.8,0.9473684210526315,1.0,1.0,1.0,1.0
9,0.5,1.0,0.6666666666666666,0.9473684210526315,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
11,0.5,0.75,0.6,0.7272727272727273,0.8,1.0,0.888888888888889,0.9090909090909091,1.0,0.75,0.8571428571428571,0.9090909090909091
12,0.0,0.0,0.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
13,0.5714285714285714,0.8,0.6666666666666666,0.7272727272727273,0.8333333333333334,1.0,0.9090909090909091,0.9090909090909091,1.0,0.8,0.888888888888889,0.9090909090909091
14,0.0,0.0,0.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
15,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6,0.75,1.0,0.8571428571428571,0.8,1.0,1.0,1.0,1.0
16,0.5,0.5,0.5,0.5,0.6666666666666666,1.0,0.8,0.75,1.0,1.0,1.0,1.0
17,0.6666666666666666,1.0,0.8,0.8888888888888888,0.6666666666666666,1.0,0.8,0.8888888888888888,1.0,1.0,1.0,1.0
18,0.0,0.0,0.0,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
19,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,0.75,0.75,0.9642857142857143
20,0.3333333333333333,1.0,0.5,0.7142857142857143,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.7142857142857143
21,0.5,0.6,0.5454545454545454,0.5714285714285714,1.0,1.0,1.0,1.0,1.0,0.2,0.33333333333333337,0.42857142857142855
22,0.0,0.0,0.0,0.9375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
23,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
24,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
25,0.3333333333333333,1.0,0.5,0.8888888888888888,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.9444444444444444
26,0.0,0.0,0.0,0.9375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
27,0.0,0.0,0.0,0.9545454545454546,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
28,0.9,1.0,0.9473684210526316,0.9666666666666667,0.9,1.0,0.9473684210526316,0.9666666666666667,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.9666666666666667
29,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
30,0.6,1.0,0.7499999999999999,0.9090909090909091,0.75,1.0,0.8571428571428571,0.9545454545454546,1.0,1.0,1.0,1.0
31,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
32,0.5,1.0,0.6666666666666666,0.9333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
33,0.6,1.0,0.7499999999999999,0.8823529411764706,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
34,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
35,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.7,0.5,0.5,0.5,0.9
36,0.2,1.0,0.33333333333333337,0.5555555555555556,0.5,1.0,0.6666666666666666,0.8888888888888888,1.0,1.0,1.0,1.0
